"V1" "V2"
"1" 0.10923 0.24
"2" 0.13589 0.26667
"3" 0.15028 0.33333
"4" 0.07194 0.16
"5" 0.11104 0.22222
"6" 0.06855 0.20635
"7" 0.14682 0.32143
"8" 0.13333 0.26923
"9" 0.10373 0.17778
"10" 0.08994 0.25397
"11" 0.13574 0.29885
"12" 0.09266 0.15686
"13" 0.14945 0.36111
"14" 0.19985 0.36364
"15" 0.10004 0.1875
"16" 0.10667 0.20588
"17" 0.13944 0.26667
"18" 0.14222 0.27778
"19" 0.10154 0.2381
"20" 0.11985 0.23232
"21" 0.12618 0.29167
"22" 0.12633 0.25287
"23" 0.12399 0.30159
"24" 0.11819 0.23656
"25" 0.17122 0.34409
"26" 0.16738 0.33333
"27" 0.08874 0.17284
"28" 0.07563 0.19444
"29" 0.11782 0.28736
"30" 0.14335 0.28125
"31" 0.11186 0.26437
"32" 0.14893 0.27273
"33" 0.09107 0.21429
"34" 0.12603 0.28205
"35" 0.16241 0.32222
"36" 0.10599 0.25926
"37" 0.13394 0.33333
"38" 0.09401 0.21795
"39" 0.10584 0.22222
"40" 0.12015 0.24731
"41" 0.06328 0.18841
"42" 0.15194 0.34568
"43" 0.11887 0.26667
"44" 0.09228 0.2069
"45" 0.13168 0.30952
"46" 0.08234 0.17284
"47" 0.11322 0.26437
"48" 0.11186 0.26667
"49" 0.12068 0.26389
"50" 0.09589 0.20988
"51" 0.14102 0.30864
"52" 0.08234 0.1746
"53" 0.12467 0.24691
"54" 0.10147 0.19048
"55" 0.13831 0.375
"56" 0.10659 0.27273
"57" 0.05996 0.18056
"58" 0.0861 0.17284
"59" 0.09627 0.19753
"60" 0.15171 0.29885
"61" 0.09469 0.18519
"62" 0.0974 0.23457
"63" 0.15269 0.26042
"64" 0.18953 0.31313
"65" 0.14335 0.32099
"66" 0.1493 0.27083
"67" 0.07751 0.22222
"68" 0.12776 0.26667
"69" 0.17921 0.4086
"70" 0.12949 0.3
"71" 0.10765 0.23077
"72" 0.09687 0.18627
"73" 0.1893 0.33333
"74" 0.0858 0.19444
"75" 0.08143 0.24638
"76" 0.13544 0.28395
"77" 0.09198 0.18889
"78" 0.15036 0.29032
"79" 0.06373 0.18182
"80" 0.14938 0.33333
"81" 0.10237 0.26087
"82" 0.09348 0.28986
"83" 0.12844 0.23958
"84" 0.11202 0.21839
"85" 0.11488 0.22989
"86" 0.04211 0.08333
"87" 0.07217 0.22222
"88" 0.04753 0.12121
"89" 0.10019 0.26667
"90" 0.08957 0.24638
"91" 0.10313 0.26667
"92" 0.14629 0.29032
"93" 0.17318 0.28431
"94" 0.12083 0.21875
"95" 0.09235 0.23188
"96" 0.10893 0.21795
"97" 0.11096 0.26923
"98" 0.23111 0.35088
"99" 0.06508 0.18333
"100" 0.17808 0.37634
