"MaMi" "kNN"
"1" 0.32431 0.37085
"2" 0.36325 0.39254
"3" 0.38885 0.42644
"4" 0.42115 0.48407
"5" 0.37703 0.41627
"6" 0.39574 0.40814
"7" 0.42346 0.41559
"8" 0.42137 0.46169
"9" 0.44822 0.48475
"10" 0.38872 0.43186
"11" 0.38856 0.39661
"12" 0.37321 0.39525
"13" 0.39298 0.42712
"14" 0.43176 0.44271
"15" 0.41424 0.45356
"16" 0.35224 0.38508
"17" 0.42316 0.45945
"18" 0.40046 0.47458
"19" 0.34091 0.37831
"20" 0.40515 0.45695
"21" 0.35292 0.40068
"22" 0.39572 0.4278
"23" 0.40231 0.41559
"24" 0.44366 0.47932
"25" 0.36561 0.46034
"26" 0.40038 0.38508
"27" 0.37332 0.37966
"28" 0.41757 0.46373
"29" 0.40542 0.44068
"30" 0.38283 0.45763
"31" 0.33565 0.37017
"32" 0.35268 0.35119
"33" 0.38237 0.41017
"34" 0.40616 0.45627
"35" 0.32635 0.34712
"36" 0.41738 0.43932
"37" 0.33372 0.35458
"38" 0.33228 0.40407
"39" 0.36548 0.39525
"40" 0.40304 0.43864
"41" 0.42552 0.48542
"42" 0.44537 0.49763
"43" 0.35273 0.34847
"44" 0.40033 0.46441
"45" 0.44287 0.4861
"46" 0.40575 0.41695
"47" 0.42205 0.4339
"48" 0.39886 0.42441
"49" 0.40908 0.45085
"50" 0.35279 0.40271
"51" 0.37199 0.39593
"52" 0.41242 0.43322
"53" 0.38015 0.40407
"54" 0.43471 0.46712
"55" 0.38736 0.41017
"56" 0.41172 0.42915
"57" 0.41082 0.43593
"58" 0.37001 0.44
"59" 0.37228 0.40678
"60" 0.40022 0.41288
"61" 0.42791 0.46915
"62" 0.42964 0.47864
"63" 0.38815 0.44814
"64" 0.4198 0.47458
"65" 0.42921 0.44949
"66" 0.40979 0.48339
"67" 0.37218 0.39797
"68" 0.41836 0.44589
"69" 0.36285 0.3661
"70" 0.40195 0.43166
"71" 0.39862 0.41763
"72" 0.4518 0.47051
"73" 0.38839 0.4339
"74" 0.36271 0.38169
"75" 0.39913 0.43119
"76" 0.36404 0.38034
"77" 0.34422 0.3661
"78" 0.44089 0.46983
"79" 0.37134 0.41153
"80" 0.32938 0.3261
"81" 0.42164 0.45763
"82" 0.3878 0.44475
"83" 0.41077 0.44136
"84" 0.33915 0.35525
"85" 0.41375 0.44949
"86" 0.39013 0.44475
"87" 0.42058 0.48203
"88" 0.34934 0.39864
"89" 0.33329 0.35458
"90" 0.33424 0.35525
"91" 0.33969 0.35458
"92" 0.34869 0.38983
"93" 0.37321 0.43051
"94" 0.39124 0.43458
"95" 0.38305 0.41288
"96" 0.34896 0.39525
"97" 0.3789 0.40542
"98" 0.41462 0.43186
"99" 0.35203 0.40047
"100" 0.39566 0.41424
