"V1" "V2"
"1" 0.19543 0.39286
"2" 0.132 0.40909
"3" 0.20571 0.42857
"4" 0.19771 0.33333
"5" 0.20457 0.48
"6" 0.17029 0.4
"7" 0.16057 0.4
"8" 0.14514 0.45
"9" 0.16229 0.4
"10" 0.11829 0.25926
"11" 0.14514 0.26087
"12" 0.19257 0.39286
"13" 0.11771 0.31818
"14" 0.09486 0.21739
"15" 0.2 0.42857
"16" 0.14971 0.21429
"17" 0.11886 0.23077
"18" 0.18629 0.48
"19" 0.16 0.25926
"20" 0.17657 0.5
"21" 0.10914 0.18519
"22" 0.09314 0.375
"23" 0.12171 0.16667
"24" 0.12743 0.38095
"25" 0.19029 0.42308
"26" 0.19257 0.4
"27" 0.08343 0.11111
"28" 0.12286 0.28571
"29" 0.16971 0.42308
"30" 0.12743 0.31818
"31" 0.16057 0.36
"32" 0.20343 0.4
"33" 0.14857 0.27586
"34" 0.15086 0.36364
"35" 0.15771 0.25
"36" 0.13486 0.22222
"37" 0.17371 0.41667
"38" 0.18743 0.36
"39" 0.13943 0.28
"40" 0.13543 0.35
"41" 0.13257 0.26087
"42" 0.17829 0.38462
"43" 0.16286 0.34615
"44" 0.09429 0.14286
"45" 0.17029 0.28571
"46" 0.12114 0.2
"47" 0.14 0.25
"48" 0.22629 0.42857
"49" 0.18457 0.42308
"50" 0.17714 0.2963
"51" 0.18114 0.37037
"52" 0.17143 0.41667
"53" 0.14171 0.34783
"54" 0.172 0.43478
"55" 0.15886 0.30769
"56" 0.152 0.30435
"57" 0.08286 0.21053
"58" 0.11943 0.33333
"59" 0.17543 0.31034
"60" 0.17771 0.33333
"61" 0.19657 0.40741
"62" 0.15886 0.2963
"63" 0.15029 0.26923
"64" 0.10457 0.11765
"65" 0.18171 0.38462
"66" 0.13143 0.28571
"67" 0.16514 0.2963
"68" 0.168 0.37037
"69" 0.09943 0.22727
"70" 0.14971 0.25
"71" 0.19714 0.375
"72" 0.14743 0.42857
"73" 0.16057 0.25806
"74" 0.124 0.29167
"75" 0.12286 0.30435
"76" 0.14743 0.375
"77" 0.132 0.33333
"78" 0.16914 0.47826
"79" 0.10114 0.26316
"80" 0.16057 0.24138
"81" 0.18286 0.44
"82" 0.13829 0.34615
"83" 0.08171 0.17391
"84" 0.15943 0.375
"85" 0.14971 0.27273
"86" 0.064 0.04545
"87" 0.14914 0.34783
"88" 0.164 0.34615
"89" 0.12914 0.28571
"90" 0.16 0.5
"91" 0.18114 0.40741
"92" 0.12057 0.28
"93" 0.17086 0.3
"94" 0.18857 0.41667
"95" 0.15943 0.30769
"96" 0.14686 0.30769
"97" 0.16457 0.33333
"98" 0.21257 0.33333
"99" 0.09714 0.26087
"100" 0.19486 0.45455
