"MaMi" "kNN"
"1" 0.63778 0.63492
"2" 0.54775 0.54286
"3" 0.65378 0.63175
"4" 0.6567 0.64534
"5" 0.65397 0.64603
"6" 0.63137 0.62381
"7" 0.64279 0.62857
"8" 0.65086 0.64762
"9" 0.59086 0.58661
"10" 0.69587 0.69206
"11" 0.63695 0.61746
"12" 0.6979 0.67937
"13" 0.67867 0.66825
"14" 0.64921 0.65079
"15" 0.66248 0.66121
"16" 0.54946 0.55278
"17" 0.66279 0.6381
"18" 0.63721 0.61905
"19" 0.69346 0.68413
"20" 0.64165 0.63333
"21" 0.6793 0.67937
"22" 0.71467 0.69772
"23" 0.6746 0.66032
"24" 0.66927 0.65714
"25" 0.6753 0.64444
"26" 0.64654 0.63016
"27" 0.59708 0.56667
"28" 0.59778 0.57778
"29" 0.72381 0.72063
"30" 0.60914 0.60248
"31" 0.66356 0.6381
"32" 0.64368 0.63968
"33" 0.74476 0.7381
"34" 0.75022 0.7381
"35" 0.61575 0.59454
"36" 0.6214 0.6127
"37" 0.73289 0.72381
"38" 0.60692 0.59683
"39" 0.66114 0.65714
"40" 0.68051 0.66508
"41" 0.67473 0.67619
"42" 0.63689 0.61905
"43" 0.6261 0.60635
"44" 0.69003 0.68185
"45" 0.6313 0.62381
"46" 0.69905 0.68413
"47" 0.68762 0.65962
"48" 0.62229 0.60675
"49" 0.62648 0.61587
"50" 0.59492 0.59206
"51" 0.62356 0.59206
"52" 0.67105 0.65238
"53" 0.65213 0.64127
"54" 0.58368 0.55397
"55" 0.57302 0.56508
"56" 0.71949 0.72381
"57" 0.64444 0.64444
"58" 0.65625 0.64851
"59" 0.6861 0.68413
"60" 0.64622 0.6254
"61" 0.61644 0.60317
"62" 0.63581 0.6254
"63" 0.63213 0.61905
"64" 0.64279 0.62063
"65" 0.68952 0.67232
"66" 0.68305 0.65278
"67" 0.70743 0.69405
"68" 0.60565 0.60159
"69" 0.66476 0.63333
"70" 0.74057 0.72222
"71" 0.67892 0.66032
"72" 0.64038 0.62222
"73" 0.62654 0.60724
"74" 0.68965 0.69841
"75" 0.73067 0.72698
"76" 0.70343 0.69206
"77" 0.63911 0.63581
"78" 0.66997 0.68095
"79" 0.6854 0.67619
"80" 0.62425 0.60952
"81" 0.65841 0.66032
"82" 0.64825 0.63492
"83" 0.64362 0.61042
"84" 0.63752 0.63175
"85" 0.62368 0.59931
"86" 0.67479 0.65556
"87" 0.7433 0.72222
"88" 0.63663 0.61746
"89" 0.66171 0.65397
"90" 0.62883 0.62381
"91" 0.66527 0.66032
"92" 0.64857 0.6381
"93" 0.60387 0.58571
"94" 0.62952 0.63016
"95" 0.6407 0.63492
"96" 0.67771 0.65397
"97" 0.73295 0.70476
"98" 0.68578 0.68413
"99" 0.62298 0.63016
"100" 0.72013 0.70794
