"MaMi" "kNN"
"1" 1 1
"2" 1 1
"3" 1 1
"4" 0.982323232323232 0.983164983164983
"5" 0.998333333333333 1
"6" 0.997435897435897 0.996153846153846
"7" 0.988980716253444 0.988980716253444
"8" 1 1
"9" 0.99905303030303 1
"10" 1 1
"11" 1 1
"12" 0.99862258953168 0.99862258953168
"13" 0.996527777777778 1
"14" 0.975694444444444 0.979166666666667
"15" 0.993827160493827 0.991769547325103
"16" 0.99537037037037 0.99537037037037
"17" 1 1
"18" 0.998484848484849 1
"19" 0.994444444444444 0.990277777777778
"20" 0.998076923076923 1
"21" 0.999158249158249 0.998316498316498
"22" 1 1
"23" 0.989583333333333 0.990530303030303
"24" 1 1
"25" 0.989177489177489 0.989177489177489
"26" 0.989010989010989 0.989010989010989
"27" 0.992063492063492 0.993055555555556
"28" 0.995670995670996 0.987012987012987
"29" 0.986111111111111 0.981481481481482
"30" 1 1
"31" 0.995535714285714 0.995535714285714
"32" 0.998397435897436 0.998397435897436
"33" 0.999198717948718 1
"34" 1 1
"35" 1 1
"36" 0.975694444444444 0.979166666666667
"37" 1 1
"38" 0.99511316872428 0.995884773662551
"39" 0.979761904761905 0.980952380952381
"40" 0.995238095238095 0.997619047619048
"41" 0.999242424242424 0.998484848484849
"42" 0.996913580246913 0.996913580246913
"43" 0.977623456790123 0.979938271604938
"44" 0.997395833333333 0.997395833333333
"45" 0.99537037037037 0.99537037037037
"46" 1 1
"47" 1 0.998397435897436
"48" 0.996632996632997 0.998316498316498
"49" 0.996296296296296 0.996296296296296
"50" 0.99465811965812 0.992521367521368
"51" 1 1
"52" 0.994444444444444 0.994444444444444
"53" 0.991341991341991 0.991341991341991
"54" 0.988215488215488 0.996632996632997
"55" 1 1
"56" 1 1
"57" 1 1
"58" 0.957142857142857 0.954761904761905
"59" 1 1
"60" 0.996753246753247 1
"61" 0.997727272727273 0.996969696969697
"62" 0.987373737373737 0.987373737373737
"63" 1 1
"64" 0.98015873015873 0.98015873015873
"65" 0.993055555555556 0.993055555555555
"66" 1 1
"67" 0.996336996336996 0.996336996336996
"68" 0.974358974358974 0.974358974358974
"69" 0.999421296296296 1
"70" 1 1
"71" 1 1
"72" 1 1
"73" 1 0.995833333333333
"74" 1 1
"75" 1 1
"76" 0.99537037037037 0.994444444444444
"77" 1 1
"78" 1 1
"79" 1 1
"80" 0.994391025641026 0.993589743589744
"81" 0.988299663299663 0.988131313131313
"82" 0.98989898989899 0.992424242424242
"83" 0.990740740740741 0.990740740740741
"84" 0.996913580246913 0.996913580246913
"85" 0.979166666666667 0.977083333333333
"86" 0.992857142857143 0.995238095238095
"87" 0.998316498316498 0.996632996632997
"88" 1 1
"89" 0.998316498316498 1
"90" 1 0.997835497835498
"91" 0.986111111111111 0.989197530864197
"92" 0.990384615384615 0.990384615384615
"93" 1 1
"94" 0.998397435897436 0.998397435897436
"95" 0.993827160493827 0.996913580246913
"96" 0.990740740740741 0.988888888888889
"97" 1 1
"98" 1 1
"99" 0.987179487179487 0.989316239316239
"100" 0.987037037037037 0.987037037037037
