"V1" "V2"
"1" 0.05596 0.10909
"2" 0.03278 0.08621
"3" 0.01282 0.03333
"4" 0.0456 0.125
"5" 0.04696 0.11034
"6" 0.038 0.08387
"7" 0.06358 0.1375
"8" 0.05991 0.1129
"9" 0.02902 0.07407
"10" 0.04389 0.09
"11" 0.04723 0.12199
"12" 0.04988 0.12414
"13" 0.04037 0.11034
"14" 0.03105 0.10333
"15" 0.02811 0.08148
"16" 0.01807 0.05758
"17" 0.05192 0.11379
"18" 0.0519 0.16207
"19" 0.11323 0.18387
"20" 0.04858 0.11667
"21" 0.0507 0.1
"22" 0.10195 0.1697
"23" 0.03674 0.09333
"24" 0.01588 0.064
"25" 0.0893 0.18333
"26" 0.04113 0.09032
"27" 0.04805 0.1
"28" 0.04132 0.10645
"29" 0.0349 0.12222
"30" 0.06199 0.10909
"31" 0.02267 0.06538
"32" 0.04034 0.11923
"33" 0.01859 0.07407
"34" 0.03726 0.08571
"35" 0.03099 0.07857
"36" 0.03278 0.088
"37" 0.05753 0.11613
"38" 0.07311 0.13871
"39" 0.05508 0.13929
"40" 0.05738 0.12581
"41" 0.04982 0.1
"42" 0.04785 0.13214
"43" 0.03381 0.07742
"44" 0.03859 0.09677
"45" 0.03253 0.07419
"46" 0.05155 0.10323
"47" 0.07491 0.16552
"48" 0.02319 0.064
"49" 0.02481 0.096
"50" 0.05676 0.14333
"51" 0.07217 0.1375
"52" 0.02973 0.07667
"53" 0.04864 0.11818
"54" 0.03499 0.0931
"55" 0.02134 0.07333
"56" 0.04956 0.10645
"57" 0.01311 0.04333
"58" 0.05228 0.12222
"59" 0.05188 0.12258
"60" 0.05848 0.13939
"61" 0.04565 0.10625
"62" 0.05974 0.15185
"63" 0.03025 0.09527
"64" 0.03643 0.09259
"65" 0.03235 0.07
"66" 0.06105 0.12647
"67" 0.0107 0.06087
"68" 0.05753 0.125
"69" 0.05645 0.11
"70" 0.02787 0.06834
"71" 0.0235 0.06875
"72" 0.05408 0.13704
"73" 0.05263 0.11563
"74" 0.05446 0.11818
"75" 0.02773 0.07407
"76" 0.03546 0.11923
"77" 0.04918 0.12414
"78" 0.02416 0.07586
"79" 0.02913 0.07857
"80" 0.07514 0.125
"81" 0.04267 0.1
"82" 0.03024 0.06129
"83" 0.05081 0.13103
"84" 0.03524 0.1
"85" 0.09103 0.14545
"86" 0.08244 0.1375
"87" 0.08118 0.14839
"88" 0.03201 0.08519
"89" 0.03675 0.0931
"90" 0.04671 0.11481
"91" 0.08748 0.14857
"92" 0.04231 0.10714
"93" 0.07295 0.13695
"94" 0.01329 0.05185
"95" 0.03444 0.10333
"96" 0.04238 0.12333
"97" 0.02008 0.075
"98" 0.02977 0.07419
"99" 0.05798 0.1
"100" 0.05984 0.11
