"MaMi" "kNN"
"1" 0.15897 0.25641
"2" 0.15487 0.15385
"3" 0.22974 0.28205
"4" 0.18564 0.28205
"5" 0.18564 0.25641
"6" 0.20308 0.25641
"7" 0.12821 0.15385
"8" 0.22256 0.25641
"9" 0.11487 0.20513
"10" 0.18359 0.20513
"11" 0.29436 0.30769
"12" 0.12718 0.30769
"13" 0.09231 0.10256
"14" 0.15795 0.25641
"15" 0.31077 0.51282
"16" 0.26154 0.35897
"17" 0.16308 0.20513
"18" 0.16513 0.28205
"19" 0.09333 0.20513
"20" 0.16308 0.23077
"21" 0.1159 0.10256
"22" 0.17744 0.17949
"23" 0.12308 0.12821
"24" 0.18564 0.20513
"25" 0.21641 0.23077
"26" 0.20718 0.25641
"27" 0.12821 0.10256
"28" 0.25538 0.35897
"29" 0.15385 0.23077
"30" 0.17333 0.25641
"31" 0.14872 0.20513
"32" 0.16821 0.23077
"33" 0.17949 0.28205
"34" 0.11897 0.17949
"35" 0.15487 0.23077
"36" 0.17641 0.25641
"37" 0.22667 0.28205
"38" 0.17128 0.25641
"39" 0.13538 0.23077
"40" 0.17436 0.25641
"41" 0.11897 0.12821
"42" 0.14462 0.28205
"43" 0.19897 0.30769
"44" 0.18667 0.28205
"45" 0.23282 0.28205
"46" 0.18359 0.23077
"47" 0.17538 0.23077
"48" 0.22872 0.35897
"49" 0.2441 0.30769
"50" 0.16718 0.35897
"51" 0.13538 0.30769
"52" 0.16205 0.33333
"53" 0.17949 0.28205
"54" 0.20615 0.28205
"55" 0.22256 0.33333
"56" 0.23385 0.30769
"57" 0.15795 0.17949
"58" 0.14564 0.12821
"59" 0.14872 0.23077
"60" 0.12103 0.23077
"61" 0.15282 0.25641
"62" 0.14462 0.17949
"63" 0.12308 0.20513
"64" 0.14769 0.23077
"65" 0.14154 0.20513
"66" 0.24205 0.33333
"67" 0.12205 0.15385
"68" 0.26154 0.35897
"69" 0.14872 0.20513
"70" 0.25846 0.46154
"71" 0.20513 0.28205
"72" 0.17641 0.20513
"73" 0.13641 0.23077
"74" 0.13333 0.12821
"75" 0.17333 0.20513
"76" 0.12923 0.17949
"77" 0.11692 0.12821
"78" 0.18564 0.25641
"79" 0.26154 0.33333
"80" 0.18667 0.30769
"81" 0.16205 0.28205
"82" 0.1959 0.33333
"83" 0.12718 0.12821
"84" 0.15077 0.20513
"85" 0.14974 0.25641
"86" 0.13333 0.25641
"87" 0.16205 0.23077
"88" 0.19077 0.25641
"89" 0.18667 0.23077
"90" 0.2041 0.28205
"91" 0.16308 0.28205
"92" 0.14359 0.25641
"93" 0.17949 0.30769
"94" 0.17128 0.20513
"95" 0.11385 0.17949
"96" 0.21538 0.25641
"97" 0.22564 0.35897
"98" 0.18769 0.17949
"99" 0.13333 0.12821
"100" 0.13128 0.23077
