"V1" "V2"
"1" 0.06133 0.472
"2" 0.08508 0.48111
"3" 0.06906 0.44222
"4" 0.07361 0.45889
"5" 0.10886 0.49132
"6" 0.1232 0.53091
"7" 0.09246 0.50677
"8" 0.06318 0.46431
"9" 0.07649 0.49176
"10" 0.07316 0.48375
"11" 0.09225 0.45636
"12" 0.08863 0.47895
"13" 0.07831 0.46316
"14" 0.10196 0.47909
"15" 0.07328 0.47263
"16" 0.0881 0.465
"17" 0.07711 0.46
"18" 0.08966 0.492
"19" 0.06489 0.46
"20" 0.07285 0.44737
"21" 0.10315 0.48
"22" 0.06381 0.43882
"23" 0.11813 0.49959
"24" 0.09035 0.47333
"25" 0.07434 0.47263
"26" 0.04962 0.436
"27" 0.063 0.42669
"28" 0.11118 0.50727
"29" 0.07225 0.45625
"30" 0.07616 0.46529
"31" 0.07328 0.46889
"32" 0.06861 0.47412
"33" 0.06381 0.43895
"34" 0.05607 0.45867
"35" 0.09763 0.507
"36" 0.07246 0.45059
"37" 0.06566 0.43667
"38" 0.08469 0.49529
"39" 0.09863 0.48348
"40" 0.10874 0.50571
"41" 0.1069 0.50581
"42" 0.05744 0.43431
"43" 0.09656 0.50105
"44" 0.07138 0.47125
"45" 0.06988 0.46662
"46" 0.06907 0.45882
"47" 0.07959 0.49993
"48" 0.0788 0.45637
"49" 0.06332 0.46267
"50" 0.03846 0.39857
"51" 0.1003 0.49524
"52" 0.08564 0.47333
"53" 0.09154 0.4615
"54" 0.10744 0.529
"55" 0.08634 0.477
"56" 0.10172 0.50743
"57" 0.07722 0.48353
"58" 0.0963 0.507
"59" 0.09259 0.5
"60" 0.08671 0.49176
"61" 0.07412 0.48556
"62" 0.05478 0.44591
"63" 0.10614 0.50417
"64" 0.07771 0.47412
"65" 0.08973 0.47333
"66" 0.07045 0.44556
"67" 0.05826 0.43529
"68" 0.07903 0.47392
"69" 0.07346 0.48588
"70" 0.11667 0.49583
"71" 0.07096 0.45882
"72" 0.09296 0.47238
"73" 0.09773 0.47078
"74" 0.07714 0.44559
"75" 0.12149 0.52797
"76" 0.06464 0.46267
"77" 0.08848 0.49778
"78" 0.04288 0.43286
"79" 0.07153 0.46118
"80" 0.08409 0.4741
"81" 0.06033 0.42471
"82" 0.08053 0.48111
"83" 0.09739 0.46783
"84" 0.05918 0.43787
"85" 0.07593 0.46889
"86" 0.04854 0.41333
"87" 0.05778 0.42881
"88" 0.15816 0.54231
"89" 0.07719 0.48
"90" 0.05193 0.44143
"91" 0.1099 0.49905
"92" 0.09095 0.46814
"93" 0.11239 0.51818
"94" 0.06689 0.456
"95" 0.13059 0.52031
"96" 0.08101 0.47579
"97" 0.04384 0.40615
"98" 0.1139 0.48675
"99" 0.09509 0.47333
"100" 0.08596 0.466
