"MaMi" "kNN"
"1" 0.25189 0.26387
"2" 0.24766 0.25261
"3" 0.23853 0.26109
"4" 0.2235 0.22516
"5" 0.25157 0.26343
"6" 0.24433 0.2578
"7" 0.24325 0.25875
"8" 0.24635 0.26946
"9" 0.24932 0.28293
"10" 0.25726 0.27764
"11" 0.24031 0.25588
"12" 0.223 0.24169
"13" 0.25178 0.24603
"14" 0.24203 0.25054
"15" 0.23484 0.24431
"16" 0.24549 0.2626
"17" 0.23325 0.27057
"18" 0.21381 0.23335
"19" 0.23848 0.25252
"20" 0.24137 0.25075
"21" 0.24711 0.23894
"22" 0.25693 0.25462
"23" 0.24731 0.24622
"24" 0.25989 0.2593
"25" 0.2381 0.26889
"26" 0.255 0.23229
"27" 0.24183 0.23493
"28" 0.23714 0.2642
"29" 0.28471 0.25936
"30" 0.24679 0.25128
"31" 0.24157 0.25321
"32" 0.2524 0.22809
"33" 0.25437 0.27431
"34" 0.23544 0.23678
"35" 0.24503 0.24062
"36" 0.25345 0.27169
"37" 0.24758 0.26314
"38" 0.27188 0.25348
"39" 0.23877 0.23279
"40" 0.22284 0.24761
"41" 0.2377 0.25833
"42" 0.24103 0.25308
"43" 0.24052 0.26308
"44" 0.25126 0.2548
"45" 0.22432 0.22756
"46" 0.25833 0.2626
"47" 0.23944 0.23929
"48" 0.23911 0.2656
"49" 0.22755 0.25328
"50" 0.23847 0.25494
"51" 0.24206 0.24646
"52" 0.26698 0.26834
"53" 0.23603 0.23723
"54" 0.25143 0.26427
"55" 0.26899 0.26722
"56" 0.24468 0.25173
"57" 0.23161 0.26046
"58" 0.23 0.23761
"59" 0.25056 0.26714
"60" 0.25791 0.25062
"61" 0.24353 0.25167
"62" 0.25605 0.24346
"63" 0.24017 0.25647
"64" 0.24955 0.25194
"65" 0.24777 0.24825
"66" 0.25162 0.27019
"67" 0.23552 0.25023
"68" 0.23933 0.24455
"69" 0.2533 0.24337
"70" 0.24452 0.25781
"71" 0.2241 0.23686
"72" 0.24675 0.2675
"73" 0.24561 0.28083
"74" 0.2515 0.26506
"75" 0.23133 0.25323
"76" 0.23806 0.25667
"77" 0.23346 0.21513
"78" 0.25431 0.26809
"79" 0.24841 0.24688
"80" 0.2353 0.27121
"81" 0.25724 0.2736
"82" 0.26411 0.26947
"83" 0.23356 0.22617
"84" 0.23998 0.26435
"85" 0.2312 0.24045
"86" 0.24649 0.24886
"87" 0.27142 0.26953
"88" 0.2093 0.23081
"89" 0.23494 0.24899
"90" 0.24371 0.2269
"91" 0.2261 0.24826
"92" 0.24765 0.25923
"93" 0.22685 0.24433
"94" 0.24621 0.25208
"95" 0.22316 0.24066
"96" 0.22103 0.23786
"97" 0.24176 0.27304
"98" 0.2117 0.2291
"99" 0.22372 0.24849
"100" 0.24039 0.23684
