"MaMi" "kNN"
"1" 0.989109848484848 0.999526515151515
"2" 0.998958333333333 0.9984375
"3" 1 1
"4" 0.996843434343434 0.997474747474747
"5" 1 1
"6" 1 1
"7" 0.981837606837607 0.980769230769231
"8" 1 1
"9" 0.968402777777778 0.967013888888889
"10" 1 1
"11" 1 1
"12" 1 1
"13" 1 1
"14" 1 1
"15" 0.98860453272218 0.984593837535014
"16" 1 1
"17" 0.997208931419458 0.998405103668262
"18" 1 1
"19" 1 1
"20" 1 1
"21" 1 1
"22" 0.97337962962963 0.965277777777778
"23" 0.974722222222222 0.968888888888889
"24" 1 1
"25" 1 1
"26" 1 1
"27" 0.986979166666667 0.984375
"28" 0.978703703703704 0.980324074074074
"29" 0.998971193415638 0.997942386831276
"30" 1 1
"31" 1 1
"32" 1 1
"33" 1 1
"34" 0.998168498168498 1
"35" 0.982969576719577 0.979001322751323
"36" 0.965162037037037 0.966898148148148
"37" 0.997530864197531 0.997530864197531
"38" 1 1
"39" 1 1
"40" 0.983100233100233 0.97960372960373
"41" 1 1
"42" 1 1
"43" 1 1
"44" 0.998251748251748 0.997668997668998
"45" 0.987847222222222 0.984375
"46" 1 1
"47" 0.957279265873016 0.95703125
"48" 0.99905303030303 0.998106060606061
"49" 1 1
"50" 1 1
"51" 1 1
"52" 1 1
"53" 0.996240601503759 0.996867167919799
"54" 1 1
"55" 0.988357256778309 0.985964912280702
"56" 0.998366013071895 0.997549019607843
"57" 0.980587121212121 0.979640151515151
"58" 0.979754273504273 0.975480769230769
"59" 1 0.999358974358974
"60" 1 1
"61" 1 1
"62" 1 1
"63" 0.982954545454545 0.97790404040404
"64" 0.998717948717949 1
"65" 1 1
"66" 0.983727810650888 0.979783037475345
"67" 1 1
"68" 1 1
"69" 1 1
"70" 1 1
"71" 0.998737373737374 0.999368686868687
"72" 1 1
"73" 0.977043611658996 0.973591935130397
"74" 1 1
"75" 0.997821350762527 0.998910675381264
"76" 1 1
"77" 0.98526936026936 1
"78" 1 1
"79" 1 1
"80" 1 1
"81" 1 1
"82" 1 1
"83" 0.974188311688312 0.975757575757576
"84" 1 1
"85" 0.98 0.972222222222222
"86" 1 1
"87" 1 1
"88" 0.996969696969697 0.996374458874459
"89" 1 1
"90" 0.978535353535353 0.976641414141414
"91" 1 1
"92" 0.97987012987013 0.995670995670996
"93" 0.998809523809524 1
"94" 1 1
"95" 1 1
"96" 1 1
"97" 1 1
"98" 1 1
"99" 0.966856060606061 0.971590909090909
"100" 1 1
