"MaMi" "kNN"
"1" 0.961271367521368 0.95625
"2" 0.977564102564102 0.977029914529915
"3" 0.982886904761905 0.977678571428571
"4" 1 1
"5" 1 1
"6" 0.977430555555556 0.977430555555556
"7" 0.973611111111111 0.976388888888889
"8" 1 1
"9" 1 1
"10" 0.980311355311355 0.980769230769231
"11" 1 1
"12" 1 1
"13" 1 1
"14" 0.979344729344729 0.980769230769231
"15" 1 0.998931623931624
"16" 1 1
"17" 0.956140350877193 0.955409356725146
"18" 1 1
"19" 1 1
"20" 0.983333333333333 0.983333333333333
"21" 0.982210998877665 0.982716049382716
"22" 1 1
"23" 0.968859649122807 0.968567251461988
"24" 1 1
"25" 1 1
"26" 1 1
"27" 0.978535353535353 0.979166666666667
"28" 0.986309523809524 0.982142857142857
"29" 1 1
"30" 0.998611111111111 0.998611111111111
"31" 0.970043572984749 0.970588235294118
"32" 1 1
"33" 0.971064814814815 0.971064814814815
"34" 0.984986772486772 0.985648148148148
"35" 0.974305555555556 0.975
"36" 0.958333333333333 0.978365384615385
"37" 0.977272727272727 0.974941724941725
"38" 0.985014619883041 0.985380116959064
"39" 1 1
"40" 0.967447916666667 0.967447916666667
"41" 1 0.998717948717949
"42" 1 0.983333333333333
"43" 0.98005698005698 0.980276134122288
"44" 0.986111111111111 0.986111111111111
"45" 0.977377946127946 0.977430555555555
"46" 1 1
"47" 0.985532407407407 0.986111111111111
"48" 1 1
"49" 1 1
"50" 1 1
"51" 1 1
"52" 0.984375 0.984375
"53" 0.997767857142857 0.998511904761905
"54" 0.982638888888889 0.984375
"55" 0.977104377104377 0.970538720538721
"56" 1 1
"57" 0.983333333333333 0.983333333333333
"58" 0.984126984126984 0.98015873015873
"59" 1 1
"60" 1 1
"61" 0.976584022038568 0.977272727272727
"62" 0.979563883410037 0.98005698005698
"63" 0.994162087912088 0.993704212454212
"64" 1 1
"65" 1 1
"66" 1 1
"67" 0.96025641025641 0.977777777777778
"68" 0.997899159663866 0.997198879551821
"69" 0.980867346938776 0.982142857142857
"70" 0.9875 0.9875
"71" 0.981837606837607 0.979166666666667
"72" 0.9875 0.982142857142857
"73" 0.999131944444444 0.998263888888889
"74" 0.979166666666667 0.979166666666667
"75" 1 1
"76" 0.98015873015873 0.980820105820106
"77" 0.981944444444444 0.980555555555556
"78" 0.977083333333333 0.976388888888889
"79" 0.970588235294118 0.970588235294118
"80" 0.964351851851852 0.965277777777778
"81" 0.971380471380471 0.972222222222222
"82" 0.96011396011396 0.961538461538461
"83" 1 1
"84" 1 1
"85" 1 0.999503968253968
"86" 0.999255952380952 0.999255952380952
"87" 1 1
"88" 0.962301587301587 0.962301587301587
"89" 1 1
"90" 1 0.999255952380952
"91" 1 1
"92" 1 1
"93" 1 1
"94" 0.978311965811966 0.978846153846154
"95" 0.962121212121212 0.956439393939394
"96" 1 1
"97" 0.960683760683761 0.961538461538461
"98" 0.982828282828283 0.983333333333333
"99" 1 1
"100" 1 1
