"MaMi" "kNN"
"1" 0.995738636363636 0.997632575757576
"2" 1 1
"3" 0.981292517006803 1
"4" 0.988194444444444 0.983333333333333
"5" 1 1
"6" 0.996581196581197 0.997008547008547
"7" 0.982638888888889 0.983333333333333
"8" 0.982142857142857 0.982142857142857
"9" 0.979001322751323 0.976686507936508
"10" 1 1
"11" 1 1
"12" 0.999305555555556 0.998611111111111
"13" 1 1
"14" 0.983838383838384 0.981313131313131
"15" 1 1
"16" 0.99684829059829 0.997542735042735
"17" 1 1
"18" 0.971122685185185 0.967013888888889
"19" 1 1
"20" 1 1
"21" 1 1
"22" 0.999485596707819 0.998392489711934
"23" 1 1
"24" 1 1
"25" 0.985082304526749 0.985082304526749
"26" 0.972561751973517 0.967914438502674
"27" 0.998717948717949 0.997649572649573
"28" 0.980687830687831 0.981481481481482
"29" 1 1
"30" 0.96952861952862 0.970145903479237
"31" 0.996336996336996 0.995421245421245
"32" 1 1
"33" 0.984402852049911 0.984402852049911
"34" 0.983723958333333 0.997395833333333
"35" 0.978009259259259 0.978009259259259
"36" 1 1
"37" 0.982638888888889 0.983333333333333
"38" 1 1
"39" 1 1
"40" 0.996693121693122 0.998015873015873
"41" 0.978632478632478 1
"42" 0.980769230769231 0.980769230769231
"43" 0.994444444444444 0.994444444444444
"44" 1 1
"45" 0.998989898989899 0.998989898989899
"46" 0.987301587301587 0.983333333333333
"47" 1 1
"48" 1 1
"49" 1 1
"50" 0.976851851851852 0.971643518518518
"51" 0.989583333333333 0.986458333333333
"52" 1 1
"53" 0.997474747474747 0.998106060606061
"54" 0.964962121212121 0.96969696969697
"55" 1 1
"56" 0.996693121693122 0.997354497354497
"57" 0.976112206881438 0.979783037475345
"58" 1 1
"59" 1 1
"60" 1 1
"61" 1 1
"62" 1 1
"63" 1 1
"64" 0.967467948717949 0.968856837606837
"65" 0.980220734126984 0.979476686507936
"66" 0.982754629629629 0.982291666666667
"67" 0.998412698412698 0.998412698412698
"68" 0.999255952380952 0.998511904761905
"69" 1 0.998106060606061
"70" 1 1
"71" 1 1
"72" 0.982638888888889 0.982638888888889
"73" 0.984688995215311 0.984210526315789
"74" 1 1
"75" 0.980769230769231 0.980769230769231
"76" 1 1
"77" 0.978246753246753 0.978354978354978
"78" 1 1
"79" 0.981818181818182 0.983333333333333
"80" 1 0.999526515151515
"81" 1 1
"82" 1 1
"83" 1 1
"84" 1 1
"85" 1 1
"86" 1 1
"87" 0.981712962962963 0.983796296296296
"88" 0.980769230769231 0.982142857142857
"89" 1 1
"90" 0.997619047619048 0.996428571428571
"91" 0.988235294117647 0.984313725490196
"92" 1 1
"93" 0.997474747474747 1
"94" 1 0.998917748917749
"95" 1 1
"96" 0.980654761904762 0.981150793650794
"97" 0.978139381985536 0.978851632697787
"98" 0.996875 0.9984375
"99" 1 1
"100" 0.977384960718294 0.979854096520763
