"MaMi" "kNN" "wKNN"
"1" 0.02959 0.25389 0.23973
"2" 0.04955 0.27233 0.26407
"3" 0.03373 0.25935 0.23304
"4" 0.01899 0.22356 0.19449
"5" 0.01625 0.20722 0.19272
"6" 0.04185 0.27431 0.23597
"7" 0.03676 0.26847 0.26442
"8" 0.01027 0.18923 0.15016
"9" 0.02569 0.21818 0.19195
"10" 0.00833 0.18266 0.11813
"11" 0.01421 0.19608 0.16031
"12" 0.01524 0.23216 0.19949
"13" 0.0223 0.22387 0.20952
"14" 0.02158 0.20129 0.16756
"15" 0.02173 0.25257 0.22078
"16" 0.02487 0.25201 0.22208
"17" 0.03147 0.25152 0.21737
"18" 0.02618 0.25071 0.22387
"19" 0.03988 0.26848 0.24582
"20" 0.02137 0.23289 0.18668
"21" 0.02646 0.256 0.23119
"22" 0.00847 0.2024 0.18746
"23" 0.01943 0.2437 0.22572
"24" 0.02531 0.24056 0.19388
"25" 0.03743 0.26897 0.25409
"26" 0.01148 0.22179 0.1955
"27" 0.03671 0.26815 0.25988
"28" 0.02576 0.25612 0.24929
"29" 0.03302 0.24941 0.24135
"30" 0.02449 0.25742 0.25831
"31" 0.0225 0.22412 0.19765
"32" 0.01625 0.23195 0.19837
"33" 0.02677 0.23697 0.21779
"34" 0.01122 0.20774 0.18094
"35" 0.02988 0.26695 0.279
"36" 0.01854 0.20968 0.2065
"37" 0.02386 0.25375 0.21726
"38" 0.02706 0.2254 0.20325
"39" 0.01524 0.21438 0.18734
"40" 0.01675 0.21656 0.22122
"41" 0.01467 0.23 0.20006
"42" 0.02815 0.255 0.19125
"43" 0.05547 0.30895 0.29924
"44" 0.02771 0.26155 0.23055
"45" 0.02131 0.23461 0.24379
"46" 0.01085 0.20297 0.18471
"47" 0.02787 0.25931 0.23762
"48" 0.01343 0.2104 0.13495
"49" 0.02622 0.24485 0.22569
"50" 0.02032 0.25806 0.21542
