"MaMi" "kNN" "wKNN"
"1" 0.20747 0.58214 0.50424
"2" 0.12311 0.48 0.35
"3" 0.17058 0.45667 0.26667
"4" 0.1395 0.46 0.28971
"5" 0.14107 0.50702 0.37
"6" 0.08505 0.40267 0.29782
"7" 0.19775 0.57037 0.44444
"8" 0.14214 0.53182 0.47763
"9" 0.15131 0.43668 0.24138
"10" 0.13861 0.432 0.29068
"11" 0.13504 0.4572 0.236
"12" 0.19133 0.48877 0.26471
"13" 0.19069 0.50968 0.32013
"14" 0.11082 0.47778 0.34143
"15" 0.14713 0.555 0.40461
"16" 0.20287 0.54667 0.33333
"17" 0.09761 0.37619 0.36
"18" 0.15607 0.56818 0.40471
"19" 0.11205 0.43636 0.32238
"20" 0.18116 0.51333 0.46667
"21" 0.15488 0.46667 0.40741
"22" 0.14911 0.47692 0.40783
"23" 0.19409 0.568 0.51799
"24" 0.13254 0.43669 0.35714
"25" 0.20905 0.59259 0.47778
"26" 0.11513 0.38333 0.15216
"27" 0.18143 0.552 0.34035
"28" 0.11666 0.47619 0.40287
"29" 0.13669 0.42963 0.36452
"30" 0.14005 0.40714 0.19622
"31" 0.12218 0.42917 0.375
"32" 0.21473 0.59259 0.45751
"33" 0.18395 0.54615 0.43882
"34" 0.11814 0.44636 0.34115
"35" 0.21687 0.52581 0.43442
"36" 0.1723 0.524 0.39521
"37" 0.14778 0.45 0.14286
"38" 0.24355 0.58667 0.43094
"39" 0.09348 0.41429 0.2381
"40" 0.1935 0.50345 0.31034
"41" 0.1149 0.37037 0.31297
"42" 0.12586 0.38788 0.37037
"43" 0.10866 0.48333 0.4437
"44" 0.22404 0.52647 0.42113
"45" 0.22617 0.56129 0.50927
"46" 0.18156 0.548 0.31756
"47" 0.14045 0.4 0.43333
"48" 0.19381 0.51429 0.37985
"49" 0.16629 0.484 0.39285
"50" 0.19862 0.596 0.44724
