"MaMi" "kNN" "wKNN"
"1" 0.18675 0.70353 0.1747
"2" 0.07105 0.57273 0.36364
"3" 0.07248 0.62 0
"4" 0.08656 0.638 0.1
"5" 0.11428 0.64462 0.08477
"6" 0.11998 0.744 0.24103
"7" 0.08838 0.68222 0
"8" 0.08011 0.7125 0.16593
"9" 0.06231 0.6175 0.00654
"10" 0.07372 0.63333 0.01905
"11" 0.09823 0.65818 0.18867
"12" 0.0651 0.67714 0.06524
"13" 0.05715 0.68333 0.16667
"14" 0.03655 0.53667 0.02369
"15" 0.099 0.65273 0.25977
"16" 0.07847 0.62 0.10615
"17" 0.05848 0.6 0
"18" 0.09869 0.684 0
"19" 0.09407 0.62182 0.09091
"20" 0.09389 0.66 0.11196
"21" 0.09261 0.62727 0.19876
"22" 0.05352 0.60857 0.03804
"23" 0.09206 0.64364 0.1374
"24" 0.09722 0.652 0.10072
"25" 0.14187 0.71385 0.183
"26" 0.0721 0.61556 0.01063
"27" 0.12085 0.67167 0.17192
"28" 0.1202 0.70182 0.18182
"29" 0.09067 0.62182 0
"30" 0.08276 0.63636 0.3527
"31" 0.08038 0.64113 0.07964
"32" 0.05684 0.595 0.05116
"33" 0.04634 0.56571 0
"34" 0.0595 0.6 0.04448
"35" 0.11412 0.69818 0.09127
"36" 0.1166 0.71818 0.18182
"37" 0.14333 0.70154 0.07692
"38" 0.09391 0.668 0.11635
"39" 0.12431 0.71667 0.32265
"40" 0.06331 0.655 0.01409
"41" 0.05631 0.67667 0
"42" 0.09647 0.66647 0.2
"43" 0.04978 0.61667 0.06124
"44" 0.1009 0.682 0.25659
"45" 0.09787 0.64182 0.13878
"46" 0.06909 0.645 0.182
"47" 0.07153 0.59091 0.18487
"48" 0.09635 0.70444 0.11111
"49" 0.13852 0.75455 0.18761
"50" 0.07966 0.61455 0.06337
