"MaMi" "kNN" "wKNN"
"1" 0.14244 0.18182 0.18182
"2" 0.05366 0.04762 0.04762
"3" 0.0478 0.05 0.05
"4" 0.09366 0.13636 0.13636
"5" 0.12293 0.2 0.2
"6" 0.05268 0.1 0.1
"7" 0.11707 0.18182 0.18182
"8" 0.0761 0.09091 0.09091
"9" 0.12585 0.15385 0.15385
"10" 0.09366 0.15789 0.15789
"11" 0.07024 0.03846 0.03846
"12" 0.05073 0.04348 0.04348
"13" 0.06537 0.08333 0.08333
"14" 0.0478 0 0
"15" 0.06927 0.03846 0.03846
"16" 0.02049 0 0
"17" 0.06537 0 0
"18" 0.0361 0.05 0.05
"19" 0.08878 0.18182 0.18182
"20" 0.04683 0.03846 0.03846
"21" 0.07902 0.09091 0.09091
"22" 0.10244 0.14286 0.14286
"23" 0.14049 0.12 0.12
"24" 0.07902 0.13043 0.13043
"25" 0.06146 0.05 0.05
"26" 0.10537 0.2 0.2
"27" 0.05073 0.09524 0.09524
"28" 0.0878 0.125 0.125
"29" 0.02732 0 0
"30" 0.04098 0.05263 0.05263
"31" 0.13366 0.12 0.12
"32" 0.0878 0.11111 0.11111
"33" 0.03122 0 0
"34" 0.06146 0.05 0.05
"35" 0.0878 0.13636 0.13636
"36" 0.02927 0.05882 0.05882
"37" 0.08 0.09524 0.09524
"38" 0.13854 0.13636 0.13636
"39" 0.12488 0.11538 0.11538
"40" 0.08 0.09524 0.09524
"41" 0.15024 0.35294 0.35294
"42" 0.11512 0.125 0.125
"43" 0.0361 0.05 0.05
"44" 0.1122 0.08333 0.08333
"45" 0.08976 0.14286 0.14286
"46" 0.10732 0.15385 0.15385
"47" 0.01463 0 0
"48" 0.08488 0.15 0.15
"49" 0.13268 0.18182 0.18182
"50" 0.05268 0.04167 0.04167
