"MaMi" "kNN"
"1" 1 1
"2" 0.997685185185185 0.998456790123457
"3" 0.976010101010101 0.976010101010101
"4" 1 0.999145299145299
"5" 1 1
"6" 0.997457088366179 1
"7" 0.994949494949495 0.996212121212121
"8" 1 1
"9" 0.983660130718954 0.998910675381264
"10" 0.983333333333333 0.983333333333333
"11" 0.972008547008547 0.972008547008547
"12" 0.99537037037037 0.995833333333333
"13" 1 1
"14" 0.982962962962963 0.982962962962963
"15" 0.983559577677225 0.983559577677225
"16" 1 0.999494949494949
"17" 1 1
"18" 1 1
"19" 1 1
"20" 1 1
"21" 0.952797202797203 0.953379953379953
"22" 1 0.999503968253968
"23" 0.985339506172839 0.985339506172839
"24" 0.979828042328042 0.997189153439153
"25" 0.995920745920746 0.994755244755245
"26" 1 0.998677248677249
"27" 1 1
"28" 0.998717948717949 0.997435897435897
"29" 0.983333333333333 0.982175925925926
"30" 0.977855477855478 0.977855477855478
"31" 1 1
"32" 1 0.999305555555556
"33" 0.995285018012291 0.995285018012291
"34" 1 1
"35" 0.998611111111111 0.998611111111111
"36" 0.998183760683761 0.996901709401709
"37" 0.978937728937729 0.978937728937729
"38" 0.999131944444444 1
"39" 0.99890350877193 1
"40" 1 1
"41" 1 1
"42" 1 1
"43" 1 1
"44" 1 1
"45" 0.999131944444444 0.999131944444444
"46" 1 1
"47" 1 1
"48" 1 1
"49" 0.977855477855478 0.977855477855478
"50" 1 1
"51" 0.972222222222222 0.972222222222222
"52" 1 1
"53" 1 1
"54" 1 1
"55" 1 1
"56" 0.997534516765286 0.997534516765286
"57" 0.985532407407407 0.986111111111111
"58" 0.979166666666667 0.979166666666667
"59" 0.995535714285714 0.998511904761905
"60" 0.983333333333333 0.983333333333333
"61" 0.979761904761905 0.979761904761905
"62" 1 1
"63" 0.998717948717949 0.998717948717949
"64" 0.982222222222222 0.982222222222222
"65" 0.981150793650794 0.981150793650794
"66" 0.996464646464646 0.996464646464646
"67" 0.970833333333333 0.970833333333333
"68" 1 1
"69" 0.964313271604938 0.979359567901235
"70" 0.977403846153846 0.977403846153846
"71" 0.975895316804408 0.975895316804408
"72" 0.982142857142857 0.982142857142857
"73" 1 1
"74" 1 1
"75" 1 1
"76" 0.983333333333333 0.983333333333333
"77" 1 1
"78" 0.984375 0.984375
"79" 0.982716049382716 0.982716049382716
"80" 0.978246753246753 0.977164502164502
"81" 1 1
"82" 1 1
"83" 1 1
"84" 1 1
"85" 1 1
"86" 1 1
"87" 1 1
"88" 1 1
"89" 1 1
"90" 0.985185185185185 0.984259259259259
"91" 0.979967948717949 0.979967948717949
"92" 0.998397435897436 0.997863247863248
"93" 1 1
"94" 0.997395833333333 1
"95" 1 1
"96" 0.975895316804408 0.975895316804408
"97" 0.974675324675325 0.974675324675325
"98" 1 1
"99" 0.981060606060606 0.981060606060606
"100" 1 1
